stop_id,stop_name,bus_route_numbers,bus_route_names,directions,route_direction_pairs,eastbound_southbound_routes,westbound_northbound_routes,route_count
16037,Rouge Hill GO Station Loop,38; 200; 395,38 - Highland Creek; 200 - Toronto Zoo; 395 - York Mills,EASTBOUND; WESTBOUND; SOUTHBOUND; NORTHBOUND,38:EASTBOUND; 38:WESTBOUND; 200:SOUTHBOUND; 200:NORTHBOUND; 395:EASTBOUND; 395:WESTBOUND,38; 200; 395,38; 200; 395,3
5519,Rouge Hill GO Station Loop,85; 385,85 - Sheppard East; 385 - Sheppard East,EASTBOUND,85:EASTBOUND; 85:EASTBOUND; 385:EASTBOUND; 385:EASTBOUND,85; 385,85; 385,2
6530,Rouge Hill GO Station Loop,54; 354; 954,54 - Lawrence East; 354 - Lawrence East; 954 - Lawrence East Express,EASTBOUND,54:EASTBOUND; 354:EASTBOUND; 954:EASTBOUND,,54; 354; 954,3
15557,Rougeside Promenade at Uptown Dr,17,17 - Birchmount,SOUTHBOUND; NORTHBOUND,17:SOUTHBOUND; 17:NORTHBOUND,17,17,1
13361,Royal York Rd at Albani St,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
16743,Royal York Rd at Algoma St,76; 80,76 - Royal York South; 80 - Queensway,SOUTHBOUND; EASTBOUND,76:SOUTHBOUND; 80:EASTBOUND,76; 80,,2
6970,Royal York Rd at Allanhurst Dr,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
6969,Royal York Rd at Allanhurst Dr South Side,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
6972,Royal York Rd at Anglesey Blvd,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
6971,Royal York Rd at Anglesey Blvd North Side,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
1510,Royal York Rd at Ashley Park Rd (North) North Side,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
6974,Royal York Rd at Ashley Rd,48; 73,48 - Rathburn; 73 - Royal York,WESTBOUND; NORTHBOUND,48:WESTBOUND; 73:NORTHBOUND,,48; 73,2
6981,Royal York Rd at Bell Royal Crt North Side,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
6976,Royal York Rd at Bloor St West,15; 73; 76; 315,15 - Evans; 73 - Royal York; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 73:SOUTHBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 73; 76,315,4
6975,Royal York Rd at Bloor St West South Side,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
7020,Royal York Rd at Castlebar Rd South Side,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
6978,Royal York Rd at Cavell Ave - Mimico GO Station,76; 80,76 - Royal York South; 80 - Queensway,SOUTHBOUND; EASTBOUND,76:SOUTHBOUND; 80:EASTBOUND,76; 80,,2
6977,Royal York Rd at Cavell Ave South Side,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
6979,Royal York Rd at Chapman Rd,73; 405,73 - Royal York; 405 - Etobicoke,SOUTHBOUND; EASTBOUND,73:SOUTHBOUND; 405:EASTBOUND,73; 405,,2
6980,Royal York Rd at Chapman Rd,73; 405,73 - Royal York; 405 - Etobicoke,NORTHBOUND; WESTBOUND,73:NORTHBOUND; 405:WESTBOUND,,73; 405,2
6982,Royal York Rd at Cobble Hills,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
6984,Royal York Rd at Coney Rd,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
6983,Royal York Rd at Coney Rd North Side,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
6985,Royal York Rd at Country Club Dr,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
6986,Royal York Rd at Country Club Dr,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
6987,Royal York Rd at Dalesford Rd,15; 76; 80; 315,15 - Evans; 76 - Royal York South; 80 - Queensway; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND; EASTBOUND,15:WESTBOUND; 76:SOUTHBOUND; 80:EASTBOUND; 315:WESTBOUND,15; 76; 80,315,4
6988,Royal York Rd at Darlingbrook Cres South Side,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
6989,Royal York Rd at Dartmouth Cres,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
6991,Royal York Rd at Dixon Rd,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
1511,Royal York Rd at Dundas St West,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
1512,Royal York Rd at Dundas St West South Side,48; 73,48 - Rathburn; 73 - Royal York,WESTBOUND; NORTHBOUND,48:WESTBOUND; 73:NORTHBOUND,,48; 73,2
6992,Royal York Rd at Edenvale Cres South Side,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
6993,Royal York Rd at Eglinton Ave West,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
6994,Royal York Rd at Eglinton Ave West,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
7008,Royal York Rd at Evans Ave South Side,15; 76; 80; 315,15 - Evans; 76 - Royal York South; 80 - Queensway; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND; WESTBOUND,15:EASTBOUND; 76:NORTHBOUND; 80:WESTBOUND; 315:EASTBOUND,315,15; 76; 80,4
6995,Royal York Rd at Frankwood Rd,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,EASTBOUND; NORTHBOUND,15:EASTBOUND; 76:NORTHBOUND; 315:EASTBOUND,315,15; 76,3
6996,Royal York Rd at Glendarling Rd,73,73 - Royal York,SOUTHBOUND,73:SOUTHBOUND,73,,1
6997,Royal York Rd at Glenroy Ave,15; 76; 315,15 - Evans; 76 - Royal York South; 315 - Evans-Brown's Line,WESTBOUND; SOUTHBOUND,15:WESTBOUND; 76:SOUTHBOUND; 315:WESTBOUND,15; 76,315,3
6999,Royal York Rd at Hartfield Crt South Side,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
7001,Royal York Rd at Hillside Ave,76,76 - Royal York South,NORTHBOUND,76:NORTHBOUND,,76,1
1513,Royal York Rd at King Georges Rd,48; 73,48 - Rathburn; 73 - Royal York,EASTBOUND; SOUTHBOUND,48:EASTBOUND; 73:SOUTHBOUND,48; 73,,2
1514,Royal York Rd at King Georges Rd,48; 73,48 - Rathburn; 73 - Royal York,WESTBOUND; NORTHBOUND,48:WESTBOUND; 73:NORTHBOUND,,48; 73,2
